id,薬価コード,成分名,商品名,薬効分類コード,成分グループ,剤形コード,規格番号,銘柄番号,check_digit,規格,先発後発区分,削除フラグ
105,1124023F2084,アルプラゾラム,アルプラゾラム錠０．８ｍｇ「アメル」,1124,23,F,2,8,4,０．８ｍｇ１錠,後発,False
106,1124024C1035,フルタゾラム,コレミナール細粒１％,1124,24,C,1,3,5,１％１ｇ,先発,False
107,1124024F1031,フルタゾラム,コレミナール錠４ｍｇ,1124,24,F,1,3,1,４ｍｇ１錠,先発,False
108,1124025C1030,メキサゾラム,メレックス細粒０．１％,1124,25,C,1,3,0,０．１％１ｇ,先発,False
109,1124025F1028,メキサゾラム,メレックス錠０．５ｍｇ,1124,25,F,1,2,8,０．５ｍｇ１錠,先発,False
110,1124025F2024,メキサゾラム,メレックス錠１ｍｇ,1124,25,F,2,2,4,１ｍｇ１錠,先発,False
111,1124026C1115,トフィソパム,トフィソパム細粒１０％「ツルハラ」,1124,26,C,1,11,5,１０％１ｇ,後発,False
112,1124026F1014,トフィソパム,トフィソパム５０ｍｇ錠,1124,26,F,1,1,4,５０ｍｇ１錠,後発,False
113,1124026F1022,トフィソパム,グランダキシン錠５０,1124,26,F,1,2,2,５０ｍｇ１錠,先発,False
114,1124028B1011,クロルジアゼポキシド,クロルジアゼポキシド散,1124,28,B,1,1,1,１％１ｇ,その他,False
115,1124028B1062,クロルジアゼポキシド,クロルジアゼポキシド散１％「ツルハラ」,1124,28,B,1,6,2,１％１ｇ,その他,False
116,1124028B2018,クロルジアゼポキシド,クロルジアゼポキシド散,1124,28,B,2,1,8,１０％１ｇ,その他,False
117,1124028F1013,クロルジアゼポキシド,クロルジアゼポキシド錠,1124,28,F,1,1,3,５ｍｇ１錠,その他,False
118,1124028F2010,クロルジアゼポキシド,クロルジアゼポキシド錠,1124,28,F,2,1,0,１０ｍｇ１錠,その他,False
119,1124029C1038,ロフラゼプ酸エチル,メイラックス細粒１％,1124,29,C,1,3,8,１％１ｇ,先発,False
120,1124029F1018,ロフラゼプ酸エチル,ロフラゼプ酸エチル１ｍｇ錠,1124,29,F,1,1,8,１ｍｇ１錠,後発,False
121,1124029F1026,ロフラゼプ酸エチル,メイラックス錠１ｍｇ,1124,29,F,1,2,6,１ｍｇ１錠,先発,False
122,1124029F2014,ロフラゼプ酸エチル,ロフラゼプ酸エチル２ｍｇ錠,1124,29,F,2,1,4,２ｍｇ１錠,後発,False
123,1124029F2022,ロフラゼプ酸エチル,メイラックス錠２ｍｇ,1124,29,F,2,2,2,２ｍｇ１錠,先発,False
124,1124030F1010,クアゼパム,クアゼパム１５ｍｇ錠,1124,30,F,1,1,0,１５ｍｇ１錠,後発,False
125,1124030F1029,クアゼパム,ドラール錠１５,1124,30,F,1,2,9,１５ｍｇ１錠,先発,False
126,1124030F1037,クアゼパム,クアゼパム錠１５ｍｇ「ＭＮＰ」,1124,30,F,1,3,7,１５ｍｇ１錠,後発,False
127,1124030F1061,クアゼパム,クアゼパム錠１５ｍｇ「トーワ」,1124,30,F,1,6,1,１５ｍｇ１錠,後発,False
128,1124030F1070,クアゼパム,クアゼパム錠１５ｍｇ「日医工」,1124,30,F,1,7,0,１５ｍｇ１錠,後発,False
129,1124030F2017,クアゼパム,クアゼパム２０ｍｇ錠,1124,30,F,2,1,7,２０ｍｇ１錠,後発,False
130,1124030F2025,クアゼパム,ドラール錠２０,1124,30,F,2,2,5,２０ｍｇ１錠,先発,False
131,1124030F2033,クアゼパム,クアゼパム錠２０ｍｇ「ＭＮＰ」,1124,30,F,2,3,3,２０ｍｇ１錠,後発,False
132,1124030F2050,クアゼパム,クアゼパム錠２０ｍｇ「トーワ」,1124,30,F,2,5,0,２０ｍｇ１錠,後発,False
133,1124030F2084,クアゼパム,クアゼパム錠２０ｍｇ「日医工」,1124,30,F,2,8,4,２０ｍｇ１錠,後発,False
134,1125001X1017,アモバルビタール,アモバルビタール,1125,1,X,1,1,7,１ｇ,その他,False
135,1125002X1011,バルビタール,バルビタール,1125,2,X,1,1,1,１ｇ,その他,False
136,1125003B2015,フェノバルビタール,フェノバルビタール散１０％,1125,3,B,2,1,5,１０％１ｇ,その他,False
137,1125003B2031,フェノバルビタール,フェノバール散１０％,1125,3,B,2,3,1,１０％１ｇ,その他,False
138,1125003B2139,フェノバルビタール,フェノバルビタール散１０％「マルイシ」,1125,3,B,2,13,9,１０％１ｇ,その他,False
139,1125003B2163,フェノバルビタール,フェノバルビタール散１０％「シオエ」,1125,3,B,2,16,3,１０％１ｇ,その他,False
140,1125003X1016,フェノバルビタール,フェノバルビタール,1125,3,X,1,1,6,１ｇ,その他,False
141,1125003X1164,フェノバルビタール,フェノバルビタール「ホエイ」原末,1125,3,X,1,16,4,１ｇ,その他,False
142,1125004F1023,フェノバルビタール,フェノバール錠３０ｍｇ,1125,4,F,1,2,3,３０ｍｇ１錠,その他,False
143,1125004S1030,フェノバルビタール,フェノバールエリキシル０．４％,1125,4,S,1,3,0,０．４％１ｍＬ,その他,False
144,1125006F1030,ペントバルビタールカルシウム,ラボナ錠５０ｍｇ,1125,6,F,1,3,0,５０ｍｇ１錠,その他,False
145,1126001X1014,臭化カリウム,臭化カリウム,1126,1,X,1,1,4,１０ｇ,その他,False
146,1126002X1019,臭化ナトリウム,臭化ナトリウム,1126,2,X,1,1,9,１０ｇ,その他,False
147,1129004Q1031,トリクロホスナトリウム,トリクロリールシロップ１０％,1129,4,Q,1,3,1,１０％１ｍＬ,その他,False
