id,変換前(商品名/誤字),変換後(成分名)
7073,バラシクロビル錠５００ｍｇ「ＮＰＩ」,バラシクロビル塩酸塩
7074,バラシクロビル錠５００ｍｇ「ＳＰＫＫ」,バラシクロビル塩酸塩
7075,バラシクロビル錠５００ｍｇ「ＮＩＧ」,バラシクロビル塩酸塩
7076,バラシクロビル粒状錠５００ｍｇ「モチダ」,バラシクロビル塩酸塩
7077,ゼフィックス錠１００,ラミブジン
7078,オセルタミビル錠７５ｍｇ「トーワ」,オセルタミビルリン酸塩
7079,タミフルカプセル７５,オセルタミビルリン酸塩
7080,オセルタミビルカプセル７５ｍｇ「サワイ」,オセルタミビルリン酸塩
7081,タミフルドライシロップ３％,オセルタミビルリン酸塩
7082,オセルタミビルＤＳ３％「サワイ」,オセルタミビルリン酸塩
7083,レベトールカプセル２００ｍｇ,リバビリン
7084,ビリアード錠３００ｍｇ,テノホビル　ジソプロキシルフマル酸塩
7085,テノゼット錠３００ｍｇ,テノホビル　ジソプロキシルフマル酸塩
7086,バリキサ錠４５０ｍｇ,バルガンシクロビル塩酸塩
7087,バリキサドライシロップ５０００ｍｇ,バルガンシクロビル塩酸塩
7088,エンテカビル０．５ｍｇ錠,エンテカビル水和物
7089,バラクルード錠０．５ｍｇ,エンテカビル水和物
7090,エンテカビル錠０．５ｍｇ「ＹＤ」,エンテカビル水和物
7091,エンテカビル錠０．５ｍｇ「タカタ」,エンテカビル水和物
7092,エンテカビル０．５ｍｇ口腔内崩壊錠,エンテカビル水和物
7093,プリジスタ錠６００ｍｇ,ダルナビル　エタノール付加物
7094,ファムシクロビル２５０ｍｇ錠,ファムシクロビル
7095,ファムビル錠２５０ｍｇ,ファムシクロビル
7096,ファムシクロビル錠２５０ｍｇ「ＪＧ」,ファムシクロビル
7097,ファムシクロビル錠２５０ｍｇ「ＹＤ」,ファムシクロビル
7098,ファムシクロビル錠２５０ｍｇ「サワイ」,ファムシクロビル
7099,ファムシクロビル錠２５０ｍｇ「タカタ」,ファムシクロビル
7100,ファムシクロビル錠２５０ｍｇ「トーワ」,ファムシクロビル
7101,ファムシクロビル錠２５０ｍｇ「日本臓器」,ファムシクロビル
7102,ファムシクロビル錠２５０ｍｇ「ＶＴＲＳ」,ファムシクロビル
7103,ファムシクロビル錠２５０ｍｇ「ＫＭＰ」,ファムシクロビル
7104,ファムシクロビル錠５００ｍｇ「日本臓器」,ファムシクロビル
7105,アイセントレス錠４００ｍｇ,ラルテグラビルカリウム
7106,アイセントレス錠６００ｍｇ,ラルテグラビルカリウム
7107,シーエルセントリ錠１５０ｍｇ,マラビロク
7108,エジュラント錠２５ｍｇ,リルピビリン塩酸塩
7109,テビケイ錠５０ｍｇ,ドルテグラビルナトリウム
7110,ベムリディ錠２５ｍｇ,テノホビル　アラフェナミドフマル酸塩
7111,アメナリーフ錠２００ｍｇ,アメナメビル
7112,ゾフルーザ錠１０ｍｇ,バロキサビル　マルボキシル
7113,ゾフルーザ錠２０ｍｇ,バロキサビル　マルボキシル
7114,プレバイミス錠２４０ｍｇ,レテルモビル
7115,ピフェルトロ錠１００ｍｇ,ドラビリン
7116,ボカブリア錠３０ｍｇ,カボテグラビルナトリウム
7117,ラゲブリオカプセル２００ｍｇ,モルヌピラビル
7118,ゾコーバ錠１２５ｍｇ,エンシトレルビル　フマル酸
7119,シュンレンカ錠３００ｍｇ,レナカパビルナトリウム
7120,アビガン錠２００ｍｇ,ファビピラビル
7121,リブテンシティ錠２００ｍｇ,マリバビル
7122,コンビビル配合錠,ジドブジン・ラミブジン
7123,カレトラ配合錠,ロピナビル・リトナビル
7124,カレトラ配合内用液,ロピナビル・リトナビル
7125,エプジコム配合錠,ラミブジン・アバカビル硫酸塩
7126,ラバミコム配合錠「アメル」,ラミブジン・アバカビル硫酸塩
7127,ツルバダ配合錠,エムトリシタビン・テノホビル　ジソプロキシルフマル酸塩
7128,トリーメク配合錠,ドルテグラビルナトリウム・アバカビル硫酸塩・ラミブジン
7129,ハーボニー配合錠,レジパスビル　アセトン付加物・ソホスブビル
7130,ゲンボイヤ配合錠,エルビテグラビル・コビシスタット・エムトリシタビン・テノホビル　アラフェナミドフマル酸塩
7131,プレジコビックス配合錠,ダルナビル　エタノール付加物・コビシスタット
7132,デシコビ配合錠ＬＴ,エムトリシタビン・テノホビル　アラフェナミドフマル酸塩
7133,デシコビ配合錠ＨＴ,エムトリシタビン・テノホビル　アラフェナミドフマル酸塩
7134,マヴィレット配合顆粒小児用,グレカプレビル水和物・ピブレンタスビル
7135,マヴィレット配合錠,グレカプレビル水和物・ピブレンタスビル
7136,オデフシィ配合錠,リルピビリン塩酸塩・エムトリシタビン・テノホビル　アラフェナミドフマル酸塩
7137,ジャルカ配合錠,ドルテグラビルナトリウム・リルピビリン塩酸塩
7138,エプクルーサ配合錠,ソホスブビル・ベルパタスビル
7139,ビクタルビ配合錠,ビクテグラビルナトリウム・エムトリシタビン・テノホビル　アラフェナミドフマル酸塩
7140,シムツーザ配合錠,ダルナビル　エタノール付加物・コビシスタット・エムトリシタビン・テノホビル　アラフェナミドフマル酸塩
7141,ドウベイト配合錠,ドルテグラビルナトリウム・ラミブジン
7142,パキロビッドパック３００,ニルマトレルビル・リトナビル
7143,パキロビッドパック６００,ニルマトレルビル・リトナビル
7144,アンコチル錠５００ｍｇ,フルシトシン
7145,フルコナゾール５０ｍｇカプセル,フルコナゾール
7146,ジフルカンカプセル５０ｍｇ,フルコナゾール
7147,フルコナゾール１００ｍｇカプセル,フルコナゾール
7148,ジフルカンカプセル１００ｍｇ,フルコナゾール
7149,ジフルカンドライシロップ３５０ｍｇ,フルコナゾール
7150,ジフルカンドライシロップ１４００ｍｇ,フルコナゾール
7151,フロリードゲル経口用２％,ミコナゾール
7152,イトラコナゾール５０ｍｇ錠,イトラコナゾール
7153,イトラコナゾール錠５０ｍｇ「日医工」,イトラコナゾール
7154,イトラコナゾール錠１００ｍｇ「日医工」,イトラコナゾール
7155,イトラコナゾール５０ｍｇカプセル,イトラコナゾール
7156,イトリゾールカプセル５０,イトラコナゾール
7157,イトリゾール内用液１％,イトラコナゾール
7158,イトラコナゾール内用液１％「ＶＴＲＳ」,イトラコナゾール
7159,テルビナフィン塩酸塩１２５ｍｇ錠,テルビナフィン塩酸塩
7160,ラミシール錠１２５ｍｇ,テルビナフィン塩酸塩
7161,テルビナフィン錠１２５ｍｇ「トーワ」,テルビナフィン塩酸塩
7162,テルビナフィン錠１２５ｍｇ「イワキ」,テルビナフィン塩酸塩
7163,テルビナフィン錠１２５ｍｇ「ＴＣＫ」,テルビナフィン塩酸塩
7164,テルビナフィン錠１２５ｍｇ「タカタ」,テルビナフィン塩酸塩
7165,サムチレール内用懸濁液１５％,アトバコン
7166,ネイリンカプセル１００ｍｇ,ホスラブコナゾール　Ｌ－リシンエタノール付加物
7167,スルファメトキサゾール・トリメトプリム顆粒,スルファメトキサゾール・トリメトプリム
7168,バクタ配合顆粒,スルファメトキサゾール・トリメトプリム
7169,バクトラミン配合顆粒,スルファメトキサゾール・トリメトプリム
7170,スルファメトキサゾール・トリメトプリム錠,スルファメトキサゾール・トリメトプリム
7171,バクタ配合錠,スルファメトキサゾール・トリメトプリム
7172,バクトラミン配合錠,スルファメトキサゾール・トリメトプリム
7173,バクタミニ配合錠,スルファメトキサゾール・トリメトプリム
7174,キニーネエチル炭酸エステル,キニーネエチル炭酸エステル
7175,キニーネ塩酸塩水和物,キニーネ塩酸塩水和物
7176,キニーネ硫酸塩水和物,キニーネ硫酸塩水和物
7177,チニダゾール錠２００ｍｇ「Ｆ」,チニダゾール
7178,チニダゾール錠５００ｍｇ「Ｆ」,チニダゾール
7179,フラジール内服錠２５０ｍｇ,メトロニダゾール
7180,メファキン「ヒサミツ」錠２７５,メフロキン塩酸塩
7181,アメパロモカプセル２５０ｍｇ,パロモマイシン硫酸塩
7182,プリマキン錠１５ｍｇ「サノフィ」,プリマキンリン酸塩
7183,スピラマイシン錠１５０万単位「サノフィ」,スピラマイシン
7184,マラロン配合錠,アトバコン・プログアニル塩酸塩
7185,マラロン小児用配合錠,アトバコン・プログアニル塩酸塩
7186,リアメット配合錠,アルテメテル・ルメファントリン
7187,チモール,チモール
7188,サントニン,サントニン
7189,ジエチルカルバマジンクエン酸塩錠,ジエチルカルバマジンクエン酸塩
7190,コンバントリン錠１００ｍｇ,ピランテルパモ酸塩
7191,コンバントリンドライシロップ１００ｍｇ,ピランテルパモ酸塩
7192,メベンダゾール錠１００（ヤンセンファーマ）,メベンダゾール
7193,ビルトリシド錠６００ｍｇ,プラジカンテル
7194,エスカゾール錠２００ｍｇ,アルベンダゾール
7195,ストロメクトール錠３ｍｇ,イベルメクチン
7196,乳糖水和物,乳糖水和物
7197,乳糖水和物「ケンエー」,乳糖水和物
7198,乳糖水和物（小堺）,乳糖水和物
7199,乳糖（日興製薬）,乳糖水和物
7200,乳糖「ホエイ」,乳糖水和物
7201,乳糖（山善）,乳糖水和物
7202,乳糖水和物原末「マルイシ」,乳糖水和物
7203,乳糖水和物「ヨシダ」,乳糖水和物
7204,乳糖水和物「シオエ」,乳糖水和物
7205,乳糖水和物「ホエイ」,乳糖水和物
7206,コムギデンプン,コムギデンプン
7207,コメデンプン,コメデンプン
7208,トウモロコシデンプン,トウモロコシデンプン
7209,トウモロコシデンプン（日興製薬）,トウモロコシデンプン
7210,トウモロコシデンプン「ヨシダ」,トウモロコシデンプン
7211,バレイショデンプン,バレイショデンプン
7212,バレイショデンプン「ヨシダ」,バレイショデンプン
7213,亜硫酸水素ナトリウム,亜硫酸水素ナトリウム
7214,カプセル,カプセル
7215,精製水,精製水
7216,精製水（共栄）,精製水
7217,精製水「ケンエー」,精製水
7218,精製水（小堺）,精製水
7219,精製水（シオエ）,精製水
7220,精製水（昭和）,精製水
7221,精製水（高杉）,精製水
7222,精製水（大成）,精製水
7223,精製水（東豊）,精製水
7224,精製水（東海製薬）,精製水
7225,精製水（日興製薬）,精製水
7226,精製水（サンケミファ）,精製水
7227,精製水（山善）,精製水
7228,精製水「ヨシダ」,精製水
7229,精製水「ＮｉｋＰ」,精製水
7230,単シロップ,単シロップ
7231,単シロップ（シオエ）,単シロップ
7232,単シロップ（日興製薬）,単シロップ
7233,ウイキョウ油,ウイキョウ油
7234,カンゾウエキス,カンゾウエキス
7235,芳香散（鈴粉末）,ケイヒ末・サンショウ末配合剤
7236,サッカリンナトリウム水和物,サッカリンナトリウム水和物
7237,サッカリンナトリウム（小堺）,サッカリンナトリウム水和物
7238,白糖,白糖
7239,ハチミツ,ハチミツ
7240,ｌ－メントール,ｌ－メントール
7241,ｌ－メントール「ケンエー」,ｌ－メントール
7242,ｌ－メントール「コザカイ・Ｍ」,ｌ－メントール
7243,ｌ－メントール「ホエイ」,ｌ－メントール
7244,ハッカ水,ハッカ水
7245,ハッカ水「ケンエー」,ハッカ水
7246,ハッカ水「日医工」,ハッカ水
7247,ハッカ油,ハッカ油
7248,ハッカ油「ケンエー」,ハッカ油
7249,ハッカ油「コザカイ・Ｍ」,ハッカ油
7250,ハッカ油「東海」,ハッカ油
7251,ハッカ油「ニッコー」,ハッカ油
7252,ハッカ油「日医工」,ハッカ油
7253,クエン酸水和物,クエン酸水和物
7254,クエン酸（山善）,クエン酸水和物
7255,クエン酸水和物原末「ニッコー」,クエン酸水和物
7256,クエン酸「日医工」,クエン酸水和物
7257,クエン酸水和物「ケンエー」原末,クエン酸水和物
7258,クエン酸水和物「コザカイ」原末,クエン酸水和物
7259,無水クエン酸,無水クエン酸
7260,酒石酸,酒石酸
7261,酒石酸「コザカイ・Ｍ」,酒石酸
7262,ガストログラフイン経口・注腸用,アミドトリゾ酸ナトリウムメグルミン
7263,バリトゲン－デラックス,硫酸バリウム
7264,バリトップＰ,硫酸バリウム
7265,バリブライトＰ,硫酸バリウム
7266,硫酸バリウム,硫酸バリウム
7267,バリコンミール,硫酸バリウム
7268,バリトップＨＤ,硫酸バリウム
7269,ネオバルギンＥＨＤ,硫酸バリウム
7270,バリトゲンＨＤ,硫酸バリウム
7271,ネオバルギンＨＤ,硫酸バリウム
7272,バリテスターＡ２４０散,硫酸バリウム
7273,ネオバルギンＵＨＤ,硫酸バリウム
7274,バリブライトＣＬ,硫酸バリウム
7275,硫酸バリウム散９９．１％「共成」,硫酸バリウム
7276,バリコンクＭＸ,硫酸バリウム
7277,バリブライトＬＶ,硫酸バリウム
7278,硫酸バリウム散９９．５％「ＦＳＫ」,硫酸バリウム
7279,硫酸バリウム散９８．８％「ホリイ」,硫酸バリウム
7280,硫酸バリウム散９７．５％「ホリイ」,硫酸バリウム
7281,コロンフォート内用懸濁液２５％,硫酸バリウム
7282,マグコロール散６８％分包５０ｇ,クエン酸マグネシウム
7283,マグコロール散６８％分包１００ｇ,クエン酸マグネシウム
7284,マグコロール内用液１３．６％分包２５０ｍＬ,クエン酸マグネシウム
7285,バルギン発泡顆粒,炭酸水素ナトリウム・酒石酸
7286,バロス発泡顆粒,炭酸水素ナトリウム・酒石酸
7287,バロス発泡顆粒－Ｓ,炭酸水素ナトリウム・酒石酸
7288,バリエース発泡顆粒,炭酸水素ナトリウム・酒石酸
7289,バックス発泡顆粒,炭酸水素ナトリウム・酒石酸
7290,メトピロンカプセル２５０ｍｇ,メチラポン
7291,膵外分泌機能検査用ＰＦＤ内服液５００ｍｇ,ベンチロミド
7292,トレーランＧ液５０ｇ,デンプン部分加水分解物
7293,トレーランＧ液７５ｇ,デンプン部分加水分解物
7294,フェリセルツ散２０％,クエン酸鉄アンモニウム
7295,ピロニック錠１００ｍｇ,尿素（１３Ｃ）
7296,ユービット錠１００ｍｇ,尿素（１３Ｃ）
7297,ボースデル内用液１０,塩化マンガン四水和物
7298,アラグリオ顆粒剤分包１．５ｇ,アミノレブリン酸塩酸塩
7299,アラベル内用剤１．５ｇ,アミノレブリン酸塩酸塩
7300,アラグリオ内用剤１．５ｇ,アミノレブリン酸塩酸塩
7301,安息香酸,安息香酸
7302,安息香酸ナトリウム,安息香酸ナトリウム
7303,Ｄ－ソルビトール液,Ｄ－ソルビトール
7304,Ｄ－ソルビトール,Ｄ－ソルビトール
7305,プロナーゼＭＳ,プロナーゼ
7306,ガスチーム散４万単位／ｇ,プロナーゼ
7307,チャンピックス錠０．５ｍｇ,バレニクリン酒石酸塩
7308,チャンピックス錠１ｍｇ,バレニクリン酒石酸塩
7309,ミンクリア内用散布液０．８％,ｌ－メントール
7310,ニフレック配合内用剤,ナトリウム・カリウム配合剤
7311,ビジクリア配合錠,リン酸二水素ナトリウム一水和物・無水リン酸水素二ナトリウム
7312,モビプレップ配合内用剤,ナトリウム・カリウム・アスコルビン酸配合剤
7313,ピコプレップ配合内用剤,ピコスルファートナトリウム水和物・酸化マグネシウム・無水クエン酸
7314,サルプレップ配合内用液,無水硫酸ナトリウム・硫酸カリウム・硫酸マグネシウム水和物
7315,アヘン末,アヘン
7316,アヘン散,アヘン
7317,アヘンチンキ,アヘンチンキ
7318,アヘンアルカロイド塩酸塩,アヘンアルカロイド塩酸塩
7319,エチルモルヒネ塩酸塩水和物,エチルモルヒネ塩酸塩水和物
7320,モルヒネ塩酸塩錠,モルヒネ塩酸塩水和物
7321,モルヒネ塩酸塩水和物,モルヒネ塩酸塩水和物
7322,モルペス細粒２％,モルヒネ硫酸塩水和物
7323,モルペス細粒６％,モルヒネ硫酸塩水和物
7324,モルヒネ硫酸塩水和物徐放細粒分包１０ｍｇ「フジモト」,モルヒネ硫酸塩水和物
7325,モルヒネ硫酸塩水和物徐放細粒分包３０ｍｇ「フジモト」,モルヒネ硫酸塩水和物
7326,ＭＳコンチン錠１０ｍｇ,モルヒネ硫酸塩水和物
7327,ＭＳコンチン錠３０ｍｇ,モルヒネ硫酸塩水和物
7328,ＭＳコンチン錠６０ｍｇ,モルヒネ硫酸塩水和物
7329,ＭＳツワイスロンカプセル１０ｍｇ,モルヒネ硫酸塩水和物
7330,ＭＳツワイスロンカプセル３０ｍｇ,モルヒネ硫酸塩水和物
7331,ＭＳツワイスロンカプセル６０ｍｇ,モルヒネ硫酸塩水和物
7332,パシーフカプセル３０ｍｇ,モルヒネ塩酸塩水和物
7333,パシーフカプセル６０ｍｇ,モルヒネ塩酸塩水和物
7334,パシーフカプセル１２０ｍｇ,モルヒネ塩酸塩水和物
7335,オプソ内服液５ｍｇ,モルヒネ塩酸塩水和物
7336,オプソ内服液１０ｍｇ,モルヒネ塩酸塩水和物
7337,コデインリン酸塩錠２０ｍｇ「タケダ」,コデインリン酸塩水和物
7338,コデインリン酸塩水和物,コデインリン酸塩水和物
7339,コデインリン酸塩散１０％,コデインリン酸塩水和物
7340,ジヒドロコデインリン酸塩,ジヒドロコデインリン酸塩
7341,ジヒドロコデインリン酸塩散１０％,ジヒドロコデインリン酸塩
7342,メテバニール錠２ｍｇ,オキシメテバノール
7343,オキノーム散２．５ｍｇ,オキシコドン塩酸塩水和物
7344,オキノーム散５ｍｇ,オキシコドン塩酸塩水和物
7345,オキノーム散１０ｍｇ,オキシコドン塩酸塩水和物
7346,オキノーム散２０ｍｇ,オキシコドン塩酸塩水和物
7347,オキシコドン錠２．５ｍｇＮＸ「第一三共」,オキシコドン塩酸塩水和物
7348,オキシコドン錠５ｍｇＮＸ「第一三共」,オキシコドン塩酸塩水和物
7349,オキシコドン錠１０ｍｇＮＸ「第一三共」,オキシコドン塩酸塩水和物
7350,オキシコドン錠２０ｍｇＮＸ「第一三共」,オキシコドン塩酸塩水和物
7351,オキシコンチンＴＲ錠５ｍｇ,オキシコドン塩酸塩水和物
7352,オキシコドン徐放錠５ｍｇＮＸ「第一三共」,オキシコドン塩酸塩水和物
7353,オキシコンチンＴＲ錠１０ｍｇ,オキシコドン塩酸塩水和物
7354,オキシコドン徐放錠１０ｍｇＮＸ「第一三共」,オキシコドン塩酸塩水和物
7355,オキシコンチンＴＲ錠２０ｍｇ,オキシコドン塩酸塩水和物
7356,オキシコドン徐放錠２０ｍｇＮＸ「第一三共」,オキシコドン塩酸塩水和物
7357,オキシコンチンＴＲ錠４０ｍｇ,オキシコドン塩酸塩水和物
7358,オキシコドン徐放錠４０ｍｇＮＸ「第一三共」,オキシコドン塩酸塩水和物
7359,オキシコドン徐放カプセル５ｍｇ「テルモ」,オキシコドン塩酸塩水和物
7360,オキシコドン徐放カプセル１０ｍｇ「テルモ」,オキシコドン塩酸塩水和物
7361,オキシコドン徐放カプセル２０ｍｇ「テルモ」,オキシコドン塩酸塩水和物
7362,オキシコドン徐放カプセル４０ｍｇ「テルモ」,オキシコドン塩酸塩水和物
7363,オキシコドン内服液２．５ｍｇ「日本臓器」,オキシコドン塩酸塩水和物
7364,オキシコドン内服液５ｍｇ「日本臓器」,オキシコドン塩酸塩水和物
7365,オキシコドン内服液１０ｍｇ「日本臓器」,オキシコドン塩酸塩水和物
7366,オキシコドン内服液２０ｍｇ「日本臓器」,オキシコドン塩酸塩水和物
7367,ナルラピド錠１ｍｇ,ヒドロモルフォン塩酸塩
7368,ナルラピド錠２ｍｇ,ヒドロモルフォン塩酸塩
7369,ナルラピド錠４ｍｇ,ヒドロモルフォン塩酸塩
7370,ナルサス錠２ｍｇ,ヒドロモルフォン塩酸塩
7371,ナルサス錠６ｍｇ,ヒドロモルフォン塩酸塩
7372,ナルサス錠１２ｍｇ,ヒドロモルフォン塩酸塩
7373,ナルサス錠２４ｍｇ,ヒドロモルフォン塩酸塩
7374,アヘン・トコン散,アヘン・トコン
7375,ペチジン塩酸塩,ペチジン塩酸塩
7376,アブストラル舌下錠１００μｇ,フェンタニルクエン酸塩
7377,アブストラル舌下錠２００μｇ,フェンタニルクエン酸塩
7378,アブストラル舌下錠４００μｇ,フェンタニルクエン酸塩
7379,イーフェンバッカル錠５０μｇ,フェンタニルクエン酸塩
7380,イーフェンバッカル錠１００μｇ,フェンタニルクエン酸塩
7381,イーフェンバッカル錠２００μｇ,フェンタニルクエン酸塩
7382,イーフェンバッカル錠４００μｇ,フェンタニルクエン酸塩
7383,イーフェンバッカル錠６００μｇ,フェンタニルクエン酸塩
7384,イーフェンバッカル錠８００μｇ,フェンタニルクエン酸塩
7385,メサペイン錠５ｍｇ,メサドン塩酸塩
7386,メサペイン錠１０ｍｇ,メサドン塩酸塩
7387,タペンタ錠２５ｍｇ,タペンタドール塩酸塩
7388,タペンタ錠５０ｍｇ,タペンタドール塩酸塩
7389,タペンタ錠１００ｍｇ,タペンタドール塩酸塩
7390,注射用チオペンタールナトリウム,チオペンタールナトリウム
7391,注射用チアミラールナトリウム,チアミラールナトリウム
7392,チトゾール注用０．５ｇ,チアミラールナトリウム
7393,ケタラール静注用２００ｍｇ,ケタミン塩酸塩
7394,ケタラール筋注用５００ｍｇ,ケタミン塩酸塩
7395,ケタラール静注用５０ｍｇ,ケタミン塩酸塩
7396,ドロレプタン注射液２５ｍｇ,ドロペリドール
7397,１％ディプリバン注,プロポフォール
7398,プロポフォール１％静注２０ｍＬ「日医工」,プロポフォール
7399,プロポフォール静注１％２０ｍＬ「ＦＫ」,プロポフォール
7400,プロポフォール静注１％２０ｍＬ「マルイシ」,プロポフォール
7401,プロポフォール１％静注２０ｍＬ「ＶＴＲＳ」,プロポフォール
7402,プロポフォール１％静注５０ｍＬ「日医工」,プロポフォール
7403,プロポフォール静注１％５０ｍＬ「ＦＫ」,プロポフォール
7404,プロポフォール静注１％５０ｍＬ「マルイシ」,プロポフォール
7405,プロポフォール１％静注５０ｍＬ「ＶＴＲＳ」,プロポフォール
7406,プロポフォール１％静注１００ｍＬ「日医工」,プロポフォール
7407,プロポフォール静注１％１００ｍＬ「ＦＫ」,プロポフォール
7408,プロポフォール静注１％１００ｍＬ「マルイシ」,プロポフォール
7409,プロポフォール１％静注１００ｍＬ「ＶＴＲＳ」,プロポフォール
7410,プロポフォール静注２％５０ｍＬ「マルイシ」,プロポフォール
7411,１％ディプリバン注－キット,プロポフォール
7412,アネレム静注用５０ｍｇ,レミマゾラムベシル酸塩
7413,サイレース静注２ｍｇ,フルニトラゼパム
7414,ミダゾラム１０ｍｇ２ｍＬ注射液,ミダゾラム
7415,ドルミカム注射液１０ｍｇ,ミダゾラム
7416,ミダゾラム注射液１０ｍｇ「ＮＩＧ」,ミダゾラム
7417,セルシン注射液５ｍｇ,ジアゼパム
7418,ジアゼパム注射液５ｍｇ「ＮＩＧ」,ジアゼパム
7419,ホリゾン注射液１０ｍｇ,ジアゼパム
7420,セルシン注射液１０ｍｇ,ジアゼパム
7421,ジアゼパム注射液１０ｍｇ「ＮＩＧ」,ジアゼパム
7422,フェノバール注射液１００ｍｇ,フェノバルビタール
7423,プレセデックス静注液２００μｇ「ファイザー」,デクスメデトミジン塩酸塩
7424,デクスメデトミジン静注液２００μｇ「サンド」,デクスメデトミジン塩酸塩
7425,デクスメデトミジン静注液２００μｇ「ニプロ」,デクスメデトミジン塩酸塩
7426,プレセデックス静注液２００μｇ／５０ｍＬシリンジ「ファイザー」,デクスメデトミジン塩酸塩
7427,デクスメデトミジン静注液２００μｇ／５０ｍＬシリンジ「ニプロ」,デクスメデトミジン塩酸塩
7428,アレビアチン注２５０ｍｇ,フェニトインナトリウム
7429,ホストイン静注７５０ｍｇ,ホスフェニトインナトリウム水和物
7430,ノーベルバール静注用２５０ｍｇ,フェノバルビタールナトリウム
7431,ミダフレッサ静注０．１％,ミダゾラム
7432,イーケプラ点滴静注５００ｍｇ,レベチラセタム
7433,レベチラセタム点滴静注５００ｍｇ「アメル」,レベチラセタム
7434,レベチラセタム点滴静注５００ｍｇ「日新」,レベチラセタム
7435,レベチラセタム点滴静注５００ｍｇ「明治」,レベチラセタム
7436,ロラピタ静注２ｍｇ,ロラゼパム
7437,ビムパット点滴静注２００ｍｇ,ラコサミド
7438,ビムパット点滴静注１００ｍｇ,ラコサミド
7439,フィコンパ点滴静注用２ｍｇ,ペランパネル水和物
7440,ブリィビアクト静注２５ｍｇ,ブリーバラセタム
7441,アセリオ静注液１０００ｍｇバッグ,アセトアミノフェン
7442,サリチル酸ナトリウム静注０．５ｇ「日新」,サリチル酸ナトリウム
7443,サリチル酸Ｎａ静注０．５ｇ「イセイ」,サリチル酸ナトリウム
7444,スルピリン注射液,スルピリン水和物
7445,トラマール注１００,トラマドール塩酸塩
7446,ソセゴン注射液１５ｍｇ,ペンタゾシン
7447,ソセゴン注射液３０ｍｇ,ペンタゾシン
7448,ケトプロフェン５０ｍｇ注射液,ケトプロフェン
7449,カピステン筋注５０ｍｇ,ケトプロフェン
7450,レペタン注０．２ｍｇ,ブプレノルフィン塩酸塩
7451,ブプレノルフィン注０．２ｍｇ「日新」,ブプレノルフィン塩酸塩
7452,レペタン注０．３ｍｇ,ブプレノルフィン塩酸塩
7453,ブプレノルフィン注０．３ｍｇ「日新」,ブプレノルフィン塩酸塩
7454,ロピオン静注５０ｍｇ,フルルビプロフェンアキセチル
7455,カシワドール静注,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム
7456,ザルソロイチン静注２０ｍＬ,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム
7457,ザルチロン注,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム
7458,ザルソロイチン静注１０ｍＬ,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム
7459,ヤスラミン配合静注,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム
7460,ジブカルソー注,サリチル酸ナトリウム・ジブカイン配合剤
7461,ネオビタカイン注２ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤
7462,タイオゼット注２ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤
7463,ジカベリン注２ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤
7464,ネオビタカイン注シリンジ２ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤
7465,サリチル酸ナトリウム・ジブカイン配合５ｍＬ注射液,サリチル酸ナトリウム・ジブカイン配合剤
7466,ネオビタカイン注５ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤
7467,ネオビタカイン注シリンジ５ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤
7468,ノイロトロピン注射液１．２単位,ワクシニアウイルス接種家兎炎症皮膚抽出液
7469,ノイロトロピン注射液３．６単位,ワクシニアウイルス接種家兎炎症皮膚抽出液
7470,アキネトン注射液５ｍｇ,乳酸ビペリデン
7471,乳酸ビペリデン注５ｍｇ「ヨシトミ」,乳酸ビペリデン
7472,ドパストン静注２５ｍｇ,レボドパ
7473,ドパストン静注５０ｍｇ,レボドパ
7474,アポカイン皮下注３０ｍｇ,アポモルヒネ塩酸塩水和物
7475,ヴィアレブ配合持続皮下注,ホスレボドパ・ホスカルビドパ水和物
7476,クロルプロマジン塩酸塩注射液,クロルプロマジン塩酸塩
7477,ピーゼットシー筋注２ｍｇ,塩酸ペルフェナジン
7478,レボトミン筋注２５ｍｇ,レボメプロマジン塩酸塩
7479,ヒルナミン筋注２５ｍｇ,レボメプロマジン塩酸塩
7480,ノバミン筋注５ｍｇ,プロクロルペラジン
7481,フルデカシン筋注２５ｍｇ,フルフェナジンデカン酸エステル
7482,アナフラニール点滴静注液２５ｍｇ,クロミプラミン塩酸塩
7483,アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）,ヒドロキシジン塩酸塩
7484,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）,ヒドロキシジン塩酸塩
7485,ドグマチール筋注１００ｍｇ,スルピリド
7486,セレネース注５ｍｇ,ハロペリドール
7487,ハロペリドール注５ｍｇ「ヨシトミ」,ハロペリドール
7488,トロペロン注４ｍｇ,チミペロン
7489,ハロマンス注５０ｍｇ,ハロペリドールデカン酸エステル
7490,ハロマンス注１００ｍｇ,ハロペリドールデカン酸エステル
